Petroleum Experts,Move v1.1
Vertex Data,Vertex Data,Vertex Data,Orientation Data,Orientation Data,Orientation Data,Container
Real,Real,Real,Real,Real,Real,Text
X(East),Y(North),Z,dip,azimuth,strike,Object Name
#FF0000,#00FF00,#0000FF,#FFFFFF,#FFFFFF,#FFFFFF,#3F3B1F
metre,metre,metre,degree,degree,degree,
xy,xy,elevation,orientation,orientation,orientation,
1616157.489692,5293052.109836,-23623.571909,54.995167,315.811157,225.811157,Hundalee
1615843.262630,5292692.164706,-23567.583753,54.999447,315.847565,225.847565,Hundalee
1615351.292290,5292625.891462,-23988.376374,54.956547,315.923859,225.923859,Hundalee
1615050.136179,5292174.194412,-23820.533863,55.149345,316.399628,226.399628,Hundalee
1615220.724708,5291906.328804,-23375.975404,54.780983,316.328888,226.328888,Hundalee
1615752.854778,5292214.854563,-23167.346833,55.087975,315.935425,225.935425,Hundalee
1614834.177520,5291424.411739,-23284.524941,53.713940,313.444977,223.444977,Hundalee
1614298.990549,5291150.965353,-23614.737613,58.880028,309.639618,219.639618,Hundalee
1613934.243800,5290566.301900,-23562.250476,54.454155,299.892761,209.892761,Hundalee
1614208.950516,5290324.388211,-23031.926020,56.775269,300.598389,210.598389,Hundalee
1614081.054847,5289770.613193,-22790.322396,55.880718,298.046478,208.046478,Hundalee
1613682.999187,5289266.152101,-22976.083814,56.465199,296.177368,206.177368,Hundalee
1613652.993513,5288560.830456,-22539.390913,57.099644,296.576202,206.576202,Hundalee
1613962.624663,5288610.456675,-22153.956914,56.158981,296.878510,206.878510,Hundalee
1614424.777697,5289188.046581,-21933.583409,56.002262,297.380920,207.380920,Hundalee
1614513.202207,5289642.881454,-22133.255990,56.384457,298.166016,208.166016,Hundalee
1615070.690463,5290059.663319,-21784.331747,54.616573,307.048462,217.048462,Hundalee
1615336.896014,5289761.125196,-21222.259551,55.542984,307.109314,217.109314,Hundalee
1615760.700384,5289921.850751,-20877.394662,55.007683,307.622192,217.622192,Hundalee
1616016.487772,5289541.026301,-20233.152899,56.865276,308.031464,218.031464,Hundalee
1616525.754712,5289847.611903,-19963.074833,54.836765,316.419373,226.419373,Hundalee
1617049.482579,5289703.117583,-19298.706940,55.016834,316.316315,226.316315,Hundalee
1617450.775749,5290045.933879,-19255.489140,54.979694,316.053558,226.053558,Hundalee
1617232.526249,5290450.534306,-19887.342401,54.978752,316.052704,226.052704,Hundalee
1616746.783179,5290335.757080,-20247.696225,54.770840,316.305725,226.305725,Hundalee
1618023.661939,5290099.481945,-18741.506772,55.037258,315.883026,225.883026,Hundalee
1618194.722259,5289651.294426,-18111.028108,55.038750,315.883423,225.883423,Hundalee
1618628.399863,5289724.396419,-17754.573557,55.016171,315.906372,225.906372,Hundalee
1619052.023154,5290365.900692,-17990.723979,55.014256,315.794006,225.794006,Hundalee
1618879.154062,5290818.841924,-18627.031492,55.024479,315.795319,225.795319,Hundalee
1618284.470453,5290625.525169,-19021.359734,55.014294,315.821198,225.821198,Hundalee
1619156.176312,5291312.175610,-18859.342930,55.138939,316.184845,226.184845,Hundalee
1619759.091189,5291598.197230,-18569.504003,54.564457,317.445068,227.445068,Hundalee
1619971.634878,5292224.338417,-19028.351095,55.340496,318.166199,228.166199,Hundalee
1619489.420836,5292259.308891,-19528.873490,55.155087,318.300476,228.300476,Hundalee
1618980.986847,5291706.622629,-19440.193534,54.976944,316.109528,226.109528,Hundalee
1620469.239511,5292606.300880,-18991.948971,54.588501,322.524994,232.524994,Hundalee
1620881.211514,5292314.837136,-18303.114464,55.305721,322.044403,232.044403,Hundalee
1621479.667236,5292607.214182,-18134.632395,54.933014,325.125092,235.125092,Hundalee
1621649.337827,5293091.630839,-18565.485344,55.201210,325.495209,235.495209,Hundalee
1622206.186609,5293487.807633,-18579.005427,55.203476,325.218292,235.218292,Hundalee
1622168.056499,5293986.700627,-19199.346482,55.150501,325.227295,235.227295,Hundalee
1621705.824804,5293858.479365,-19424.401378,55.002495,325.520660,235.520660,Hundalee
1621340.096520,5293347.226964,-19118.585173,54.988422,325.471680,235.471680,Hundalee
1620758.453926,5293154.274050,-19376.566731,55.790321,324.252106,234.252106,Hundalee
1622706.732076,5294481.854738,-19368.880092,55.705128,327.724121,237.724121,Hundalee
1623180.057605,5294326.244480,-18804.945776,55.738529,327.707367,237.707367,Hundalee
1623694.431787,5294555.220353,-18713.697905,54.681812,331.800110,241.800110,Hundalee
1624132.444976,5295054.576738,-19053.913501,55.295044,332.869812,242.869812,Hundalee
1624036.297993,5295331.549262,-19470.331009,54.960625,332.805542,242.805542,Hundalee
1623389.129040,5295234.106545,-19778.575134,55.713867,331.875122,241.875122,Hundalee
1622779.781343,5294843.233754,-19745.701620,53.919983,326.823120,236.823120,Hundalee
1622266.099919,5294967.878858,-20287.442352,54.924721,326.462555,236.462555,Hundalee
1622506.594917,5295410.350359,-20630.453492,55.442333,327.412079,237.412079,Hundalee
1623164.112368,5295513.076418,-20283.374325,54.574364,331.640442,241.640442,Hundalee
1623440.029532,5295857.762242,-20533.410121,55.215981,332.625092,242.625092,Hundalee
1623120.725026,5296112.161290,-21065.206408,54.646191,332.603607,242.603607,Hundalee
1623589.594353,5296609.930003,-21377.568880,54.392197,332.154785,242.154785,Hundalee
1623374.713983,5296862.510837,-21835.801191,55.219433,331.933868,241.933868,Hundalee
1622678.774750,5296507.443987,-21866.523629,55.677040,330.712555,240.712555,Hundalee
1622594.063189,5296106.345419,-21416.741257,55.499062,330.595215,240.595215,Hundalee
1622255.850244,5295749.220313,-21232.024137,54.715542,327.289703,237.289703,Hundalee
1621750.441152,5295677.076379,-21543.565348,55.377083,325.887207,235.887207,Hundalee
1621607.619506,5296092.381540,-22152.984030,54.984932,325.939514,235.939514,Hundalee
1621118.289978,5295957.376994,-22389.282929,55.276478,325.357147,235.357147,Hundalee
1620651.367840,5295439.679232,-22154.185366,55.396118,325.724915,235.724915,Hundalee
1620696.710893,5295101.201782,-21715.610632,54.965405,325.576233,235.576233,Hundalee
1621306.454677,5295203.594383,-21341.289513,55.205475,325.360901,235.360901,Hundalee
1622197.740160,5296565.624041,-22291.225192,56.133862,330.534180,240.534180,Hundalee
1622264.050418,5296939.855823,-22707.894676,54.052635,329.357117,239.357117,Hundalee
1621512.776604,5296924.480382,-23242.612227,55.873901,328.510590,238.510590,Hundalee
1621572.722867,5297320.069591,-23676.369369,54.176582,327.370209,237.370209,Hundalee
1622353.913522,5297694.308474,-23542.542823,54.475250,328.751160,238.751160,Hundalee
1623035.138773,5297697.775293,-23041.658216,55.393063,328.406769,238.406769,Hundalee
1623005.221932,5297338.911851,-22640.767210,53.401924,327.260376,237.260376,Hundalee
1623634.850906,5297319.746919,-22193.375288,50.383743,329.187927,239.187927,Hundalee
1624167.608199,5297773.081434,-22159.900438,49.999226,305.664917,215.664917,Hundalee
1624111.258690,5298229.377104,-22585.127185,55.445465,309.771240,219.771240,Hundalee
1623608.418238,5298134.906031,-23019.493040,52.109776,312.581909,222.581909,Hundalee
1623534.925249,5298488.715519,-23431.455385,56.598289,314.805573,224.805573,Hundalee
1623725.268541,5299020.100697,-23711.987860,54.717899,304.194641,214.194641,Hundalee
1623525.970145,5299317.902567,-24183.875642,55.247105,303.783264,213.783264,Hundalee
1623354.724468,5299166.107126,-24267.363847,55.247105,303.783264,213.783264,Hundalee
1623260.041850,5299033.074523,-24274.169910,55.247105,303.783264,213.783264,Hundalee
1623116.891736,5298903.671208,-24289.840980,55.071938,316.299133,226.299133,Hundalee
1622952.486915,5298687.921498,-24229.137637,55.071938,316.299133,226.299133,Hundalee
1622630.433026,5298619.820685,-24476.724935,54.899685,316.490723,226.490723,Hundalee
1622398.588900,5298479.086745,-24502.830378,55.593964,329.829132,239.829132,Hundalee
1622112.910527,5298189.911252,-24344.165342,55.890827,330.064880,240.064880,Hundalee
1622468.807151,5298080.458770,-23938.368151,56.187595,329.984558,239.984558,Hundalee
1623076.539413,5298437.735076,-23849.445889,54.885975,316.136505,226.136505,Hundalee
1621841.119682,5298119.051916,-24453.754119,55.890827,330.064880,240.064880,Hundalee
1621741.368645,5298070.877131,-24465.116286,55.549419,330.757538,240.757538,Hundalee
1621546.512136,5297987.986383,-24498.441507,55.549419,330.757538,240.757538,Hundalee
1621104.308045,5297774.723486,-24576.169165,54.529625,326.123291,236.123291,Hundalee
1620734.842552,5297541.510955,-24593.461026,54.529625,326.123291,236.123291,Hundalee
1620851.503649,5297319.257271,-24232.400555,55.586243,326.859894,236.859894,Hundalee
1620258.194854,5296937.117115,-24249.739353,55.245457,325.287994,235.287994,Hundalee
1619779.595165,5296903.654631,-24600.252174,55.042660,325.608215,235.608215,Hundalee
1619792.278274,5297146.929014,-24877.630998,55.272423,325.629395,235.629395,Hundalee
1620052.154634,5297348.511764,-24905.883406,55.218834,325.547150,235.547150,Hundalee
1620221.097106,5297438.784748,-24876.608815,55.119339,325.926025,235.926025,Hundalee
1619511.913870,5297035.306330,-24973.057241,55.272423,325.629395,235.629395,Hundalee
1619110.432698,5296820.961868,-25042.635255,55.220272,326.018494,236.018494,Hundalee
1618838.170127,5296602.834730,-25001.309476,55.220272,326.018494,236.018494,Hundalee
1618532.425847,5296503.070883,-25127.615927,55.002037,326.201019,236.201019,Hundalee
1618249.905442,5296345.883654,-25176.273563,55.351563,324.251343,234.251343,Hundalee
1617981.795783,5296174.470546,-25201.626016,55.351563,324.251343,234.251343,Hundalee
1617882.317998,5295884.349048,-24964.040383,53.630222,323.210693,233.210693,Hundalee
1617521.557725,5295739.262023,-25109.032186,55.321857,319.368164,229.368164,Hundalee
1617534.514152,5295977.836832,-25358.792732,55.665619,319.538361,229.538361,Hundalee
1617630.395769,5296044.717609,-25345.878381,54.641266,324.763245,234.763245,Hundalee
1617716.917127,5296096.264297,-25333.703467,55.351563,324.251343,234.251343,Hundalee
1617265.893149,5295567.231144,-25160.966806,55.321857,319.368164,229.368164,Hundalee
1616952.289921,5295201.968049,-25069.763136,54.705936,317.561249,227.561249,Hundalee
1616636.955470,5295194.659607,-25362.741463,54.705936,317.561249,227.561249,Hundalee
1616395.369128,5295000.510648,-25393.763201,55.161461,317.030090,227.030090,Hundalee
1616080.083143,5294691.593093,-25383.248327,54.947056,316.120422,226.120422,Hundalee
1616248.386467,5294471.593903,-24989.686524,55.068035,316.194031,226.194031,Hundalee
1616879.006904,5294787.819899,-24707.223070,54.766838,317.599945,227.599945,Hundalee
